0,,Manufacturer,Category,Screen,GPU,OS,CPU_core,Screen_Size_cm,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_kg,Price
34,33.0,Asus,3,Full HD,3,1,7,39.624,1.8,8,256,1.7,1420
35,34.0,HP,3,Full HD,2,1,5,43.942,1.6,8,256,2.5,1179
36,35.0,Acer,4,IPS Panel,2,1,7,35.56,1.8,8,256,1.6,1123
37,36.0,Acer,3,Full HD,3,1,3,39.624,2.7,4,256,2.2,727
38,37.0,HP,3,Full HD,2,1,7,35.56,1.8,8,256,1.63,1255
39,38.0,HP,3,IPS Panel,2,1,5,33.02,2.5,4,256,,888
40,39.0,Lenovo,3,IPS Panel,1,1,5,35.56,1.6,8,256,1.75,1418
41,40.0,Asus,4,Full HD,2,1,7,35.56,1.8,8,256,1.25,1396
42,41.0,HP,4,Full HD,2,1,5,35.56,2.7,4,256,1.48,1374
43,42.0,HP,3,Full HD,1,1,5,39.624,1.6,6,256,1.91,786
44,43.0,Acer,3,IPS Panel,3,1,5,43.18,1.6,4,256,3,1023
45,44.0,Dell,3,Full HD,1,1,5,39.624,1.6,8,256,2.13,925
46,45.0,Lenovo,1,IPS Panel,3,1,7,38.1,2.8,16,256,2.5,1371
47,46.0,Acer,3,IPS Panel,3,1,5,43.18,1.6,8,256,3,1085
48,47.0,Huawei,4,IPS Panel,2,1,5,33.02,2.5,8,256,1.05,1714
49,48.0,HP,3,Full HD,3,1,5,43.942,1.6,8,256,2.5,1172
50,49.0,Dell,4,Full HD,2,1,5,33.782,1.6,8,256,,1777
51,50.0,Acer,4,IPS Panel,2,1,5,33.02,1.2,8,256,1.12,1256
52,51.0,HP,3,Full HD,3,1,7,43.942,1.8,8,256,2.5,1327
53,52.0,Dell,4,Full HD,2,1,7,33.782,1.8,8,256,1.2,1841
54,53.0,Dell,4,IPS Panel,1,1,7,33.02,1.8,8,256,1.4,1184
55,54.0,HP,3,Full HD,3,1,7,35.56,1.8,8,256,1.63,1310
56,55.0,Dell,4,Full HD,2,1,5,35.56,1.6,8,256,1.6,1460
57,56.0,Dell,3,Full HD,1,2,5,39.624,1.6,8,256,2.2,860
58,57.0,Toshiba,4,Full HD,2,1,7,33.782,2.5,8,256,1.2,1731
59,58.0,Acer,3,Full HD,3,1,7,39.624,2.7,8,256,2.2,1057
60,59.0,Asus,3,Full HD,3,1,5,39.624,2.5,8,256,2,977
61,60.0,Dell,3,Full HD,2,1,5,35.56,2.5,8,256,1.6,1091
62,61.0,Dell,3,Full HD,1,2,7,39.624,2.7,16,256,,1142
63,62.0,Acer,1,IPS Panel,3,1,5,38.1,2.5,8,256,2.5,1075
64,63.0,Dell,1,Full HD,3,1,5,39.624,2.5,8,256,2.56,1117
65,64.0,Asus,1,Full HD,3,1,7,43.942,2.9,16,256,3.6,3810
66,65.0,Acer,3,IPS Panel,3,1,3,43.18,2.7,4,256,3,892
67,66.0,Dell,4,Full HD,2,1,5,33.782,1.6,8,256,1.41,1206
68,67.0,Lenovo,3,Full HD,2,1,7,39.624,1.8,8,256,2.05,1118
69,68.0,Dell,3,Full HD,1,2,7,39.624,1.8,8,256,,934
70,69.0,Lenovo,1,IPS Panel,3,1,5,38.1,2.5,8,256,2.5,1053
71,70.0,Lenovo,3,Full HD,2,1,5,39.624,2.5,6,256,2.2,735
72,71.0,Acer,3,IPS Panel,3,1,7,38.1,1.8,8,256,3,1208
73,72.0,Lenovo,3,IPS Panel,2,1,7,38.1,2.7,8,256,1.95,1394
74,73.0,Asus,4,Full HD,3,1,5,39.624,2.5,8,256,1.7,1241
75,74.0,Dell,3,Full HD,3,1,7,39.624,2.8,8,256,2,2323
76,75.0,Lenovo,3,Full HD,2,1,5,39.624,1.6,8,256,2.05,939
77,76.0,Acer,3,Full HD,3,2,7,39.624,2.8,8,256,2.5,1244
78,77.0,Dell,5,Full HD,3,1,7,43.942,2.9,16,256,3.42,3665
79,78.0,Toshiba,3,IPS Panel,3,1,7,38.1,2.5,8,256,2.2,1325
80,79.0,Lenovo,3,IPS Panel,2,1,5,33.02,2.5,8,256,1.1,1269
81,80.0,HP,3,Full HD,2,1,5,35.56,2.5,8,256,1.95,1245
82,81.0,HP,3,Full HD,2,1,7,35.56,2.7,8,256,1.48,1641
83,82.0,Asus,3,Full HD,2,1,7,35.56,2.7,8,256,2,1390
84,83.0,Asus,4,Full HD,3,1,7,39.624,2.7,8,256,1.7,1334
85,84.0,HP,4,Full HD,2,1,7,31.75,2.7,8,256,1.26,1696
86,85.0,Toshiba,3,IPS Panel,2,1,5,38.1,2.5,8,256,2,1198
87,86.0,Asus,1,Full HD,3,1,7,39.624,2.8,8,256,2.5,1269
88,87.0,HP,3,Full HD,2,1,5,35.56,2.6,8,256,1.48,1611
89,88.0,HP,3,Full HD,2,1,5,39.624,2.5,8,256,1.84,1453
90,89.0,Dell,3,Full HD,3,1,5,39.624,1.6,8,256,2,1452
91,90.0,Dell,4,Full HD,2,1,7,33.782,1.8,8,256,1.2,2006
92,91.0,HP,3,Full HD,2,1,7,39.624,2.7,8,256,1.84,1656
93,92.0,HP,5,Full HD,3,1,7,39.624,2.8,8,256,2.6,2208
94,93.0,Dell,3,Full HD,2,1,5,35.56,2.6,8,256,1.36,1813
95,94.0,Asus,3,Full HD,2,1,5,35.56,2.5,8,256,2,1200
96,95.0,Dell,3,Full HD,1,1,7,39.624,2.7,8,256,2.33,1142
97,96.0,HP,4,IPS Panel,2,1,7,35.56,2.7,8,256,1.36,2223
98,97.0,Lenovo,3,IPS Panel,3,1,5,35.56,2.5,8,256,1.5,1396
99,98.0,Lenovo,3,IPS Panel,2,1,3,33.02,2.4,4,128,1.5,697
100,99.0,Dell,5,IPS Panel,3,1,7,38.1,2.7,8,256,2,2712
101,100.0,MSI,1,Full HD,3,1,7,43.942,2.8,8,256,2.7,1714
102,101.0,Dell,3,Full HD,1,2,7,39.624,2.7,8,256,2.33,989
103,102.0,Lenovo,3,IPS Panel,1,1,7,38.1,1.8,8,256,2.1,1562
104,103.0,Lenovo,3,IPS Panel,2,1,5,35.56,2.5,8,256,1.9,1192
105,104.0,Acer,3,Full HD,3,2,7,39.624,2.8,8,256,2.5,1117
106,105.0,Dell,3,Full HD,1,2,5,39.624,2.5,4,256,2.3,761
107,106.0,HP,4,Full HD,2,1,7,35.56,2.5,8,256,1.43,1905
108,107.0,Lenovo,4,IPS Panel,1,1,7,35.56,1.8,8,256,1.75,1544
109,108.0,HP,3,Full HD,2,1,7,39.624,2.9,8,256,2.31,1813
110,109.0,Dell,4,Full HD,2,2,7,35.56,2.8,8,256,1.6,1396
111,110.0,Lenovo,3,IPS Panel,2,1,7,33.02,2.7,8,256,1.4,1283
112,111.0,Lenovo,3,IPS Panel,2,1,3,35.56,2.7,4,128,1.7,761
113,112.0,Asus,3,Full HD,2,2,5,39.624,2.5,4,256,2,710
114,113.0,Dell,3,Full HD,1,1,5,39.624,1.6,4,256,2.2,951
115,114.0,Lenovo,4,IPS Panel,2,1,5,30.48,2.5,8,256,1.36,1815
116,115.0,Dell,3,Full HD,3,1,5,35.56,2.8,8,256,1.64,1498
117,116.0,MSI,1,Full HD,3,1,5,39.624,2.5,8,256,2.2,1306
118,117.0,Dell,5,IPS Panel,3,1,7,38.1,2.7,16,256,2.17,2509
119,118.0,Lenovo,3,Full HD,2,1,5,35.56,2.5,8,256,1.65,1709
120,119.0,Lenovo,3,Full HD,3,1,7,39.624,2.9,8,256,2.67,2655
121,120.0,Dell,4,Full HD,2,1,5,,1.6,8,256,1.42,2340
122,121.0,Dell,5,Full HD,3,1,7,39.624,2.8,8,256,1.78,3059
123,122.0,Toshiba,3,IPS Panel,2,1,5,33.02,2.5,8,256,1.05,2124
124,123.0,HP,3,IPS Panel,2,1,5,33.02,1.6,4,128,1.49,922
125,124.0,Lenovo,3,IPS Panel,2,1,5,35.56,1.6,8,256,1.75,1333
126,125.0,Lenovo,3,IPS Panel,3,1,5,38.1,2.5,8,256,2.3,1286
127,126.0,Lenovo,3,Full HD,2,1,7,39.624,1.8,8,256,2.17,1142
128,127.0,Lenovo,3,IPS Panel,2,1,3,33.02,2.4,8,256,1.4,1206
129,128.0,Lenovo,3,IPS Panel,2,1,5,38.1,2.5,8,256,2.3,1157
130,129.0,Lenovo,3,Full HD,2,1,5,33.782,2.5,8,256,1.44,1206
131,130.0,Dell,4,IPS Panel,2,1,5,33.782,2.5,8,128,1.29,1142
132,131.0,HP,3,Full HD,3,1,5,39.624,2.5,8,256,2.04,1129
133,132.0,HP,4,IPS Panel,2,1,7,33.02,2.7,8,256,1.32,1777
134,133.0,Dell,3,Full HD,2,1,5,35.56,2.6,8,256,1.64,1626
135,134.0,Lenovo,3,Full HD,2,1,5,35.56,2.3,8,256,2.02,1702
136,135.0,Dell,3,Full HD,2,1,5,39.624,2.8,8,256,1.9,1749
137,136.0,Dell,3,Full HD,3,1,7,39.624,2.8,8,256,1.93,1739
138,137.0,Dell,3,Full HD,1,1,5,39.624,1.6,8,256,2.2,1013
139,138.0,Lenovo,3,IPS Panel,3,1,7,35.56,2.7,8,256,1.87,1091
140,139.0,Dell,3,Full HD,2,1,3,35.56,2.0,4,128,1.6,935
141,140.0,HP,3,Full HD,2,1,3,39.624,2.4,4,128,2.1,896
142,141.0,Lenovo,3,Full HD,2,1,3,39.624,2.0,4,128,2.2,634
143,142.0,Dell,3,Full HD,2,1,5,39.624,2.5,8,256,1.9,1419
144,143.0,Lenovo,3,Full HD,2,1,3,39.624,2.7,4,128,2.05,800
145,144.0,Lenovo,3,IPS Panel,3,1,7,43.18,2.8,8,256,3.4,3810
146,145.0,Lenovo,3,Full HD,2,1,5,39.624,2.5,8,256,2.3,1054
147,146.0,Dell,3,Full HD,1,2,7,39.624,2.7,8,256,2.2,951
148,147.0,HP,3,Full HD,2,1,3,33.782,2.4,4,128,1.49,913
149,148.0,Dell,3,Full HD,3,1,7,39.624,2.8,16,256,1.93,1953
150,149.0,Lenovo,4,IPS Panel,2,1,7,35.56,2.6,12,256,1.4,2125
151,150.0,Lenovo,3,IPS Panel,2,1,5,35.56,2.5,8,256,1.7,1872
152,151.0,Dell,5,Full HD,3,1,7,,2.8,8,256,2.06,2240
153,152.0,HP,3,Full HD,2,1,7,39.624,2.7,8,256,1.84,1548
154,153.0,Toshiba,3,IPS Panel,2,1,7,38.1,2.5,8,256,2.2,1777
155,154.0,Dell,3,Full HD,1,2,5,39.624,2.5,4,128,2.18,723
156,155.0,Lenovo,3,Full HD,2,1,5,35.56,2.3,8,256,1.65,1861
157,156.0,Dell,3,Full HD,3,1,7,39.624,2.8,8,256,2,2312
158,157.0,Lenovo,3,Full HD,2,1,5,39.624,1.6,4,256,1.8,1053
159,158.0,Acer,4,IPS Panel,2,1,5,35.56,2.5,8,256,1.8,1167
160,159.0,Razer,1,Full HD,3,1,7,35.56,2.8,16,256,1.95,3301
161,160.0,Toshiba,3,Full HD,2,1,5,33.782,2.3,8,256,1.2,1541
162,161.0,Lenovo,4,IPS Panel,2,1,7,30.48,2.7,8,256,1.36,2012
163,162.0,Dell,4,Full HD,2,1,5,33.782,1.6,8,256,1.2,1842
164,163.0,Dell,3,Full HD,1,1,7,39.624,1.8,8,256,2.2,1167
165,164.0,Dell,3,Full HD,2,1,5,35.56,2.4,8,256,1.56,1561
166,165.0,Toshiba,3,IPS Panel,2,1,5,38.1,2.5,8,256,2,1598
167,166.0,Asus,4,Full HD,2,1,5,35.56,2.5,8,256,1.1,1442
168,167.0,Acer,1,Full HD,3,1,5,39.624,2.5,16,256,2.5,1650
169,168.0,MSI,1,Full HD,3,1,5,39.624,2.5,8,256,2.2,1268
170,169.0,HP,3,IPS Panel,1,1,3,43.18,2.0,4,256,2.5,888
171,170.0,Lenovo,3,Full HD,2,1,5,35.56,2.5,4,256,1.7,888
172,171.0,Toshiba,3,IPS Panel,2,1,5,33.02,2.5,8,256,1.5,1236
173,172.0,Dell,3,Full HD,2,1,5,39.624,2.5,8,256,2.18,1010
174,173.0,Lenovo,3,Full HD,2,1,5,35.56,2.3,8,256,1.8,1513
175,174.0,Dell,3,Full HD,3,2,5,35.56,2.8,8,256,1.64,1383
176,175.0,Lenovo,3,IPS Panel,3,1,5,35.56,2.5,8,256,1.87,1089
177,176.0,Dell,3,Full HD,2,1,5,39.624,2.6,8,256,1.9,1498
178,177.0,HP,3,Full HD,3,1,7,43.942,2.7,8,256,2.63,1524
179,178.0,Lenovo,4,IPS Panel,2,1,5,35.56,2.5,8,256,1.32,1904
180,179.0,Lenovo,3,IPS Panel,2,1,5,33.02,2.5,8,256,1.44,1219
181,180.0,HP,5,Full HD,3,1,7,39.624,2.8,16,256,2.6,3073
182,181.0,Toshiba,3,IPS Panel,2,1,5,35.56,2.5,8,256,1.25,1950
183,182.0,Samsung,4,Full HD,2,1,7,33.782,2.7,16,256,0.81,2095
184,183.0,HP,3,Full HD,2,1,3,39.624,2.0,8,256,1.86,685
185,184.0,HP,3,Full HD,2,1,5,39.624,2.4,8,256,1.84,2414
186,185.0,HP,5,Full HD,3,1,7,39.624,2.6,8,256,2.59,1983
187,186.0,Dell,4,Full HD,2,1,7,31.75,2.8,16,256,1.18,2361
188,187.0,Samsung,4,Full HD,2,1,7,,2.7,8,256,1.31,2031
189,188.0,Dell,3,Full HD,1,1,7,39.624,2.7,16,256,2.3,1501
190,189.0,Acer,3,IPS Panel,2,1,3,35.56,2.4,4,128,1.8,808
191,190.0,Dell,1,Full HD,3,1,5,39.624,2.5,8,256,2.62,1251
192,191.0,Dell,3,Full HD,1,1,3,39.624,2.0,8,256,2,939
193,192.0,HP,5,Full HD,3,1,7,39.624,2.8,8,256,3.14,2623
194,193.0,Asus,3,Full HD,2,1,5,39.624,2.5,8,256,2.37,1396
195,194.0,Dell,4,Full HD,2,1,5,33.782,2.5,8,256,1.29,1904
196,195.0,Samsung,4,Full HD,2,1,5,33.782,2.5,8,256,0.81,1904
197,196.0,Dell,3,Full HD,1,1,5,39.624,2.5,8,256,2.18,1003
198,197.0,Lenovo,4,Full HD,2,1,7,35.56,2.7,8,256,1.32,2361
199,198.0,MSI,1,Full HD,3,1,5,39.624,2.5,8,256,2.4,1523
200,199.0,Acer,3,IPS Panel,2,1,3,35.56,2.4,8,128,1.5,786
201,200.0,Lenovo,3,Full HD,2,1,5,35.56,2.3,8,256,1.7,1507
202,201.0,Lenovo,3,IPS Panel,2,1,5,35.56,2.6,8,256,1.32,2096
203,202.0,Dell,3,Full HD,1,1,7,39.624,2.7,4,256,2.18,939
204,203.0,Lenovo,4,IPS Panel,3,1,7,35.56,2.8,8,256,1.96,2417
205,204.0,Asus,3,IPS Panel,3,1,7,38.1,2.7,8,256,2.3,1000
206,205.0,Dell,3,Full HD,2,1,5,39.624,2.5,8,128,1.9,1200
207,206.0,HP,3,Full HD,1,1,5,39.624,2.6,8,256,1.84,1714
208,207.0,Toshiba,3,Full HD,2,1,5,33.782,2.5,4,128,1.05,1632
209,208.0,Acer,3,IPS Panel,2,1,5,35.56,2.5,8,256,1.56,1146
210,209.0,Toshiba,3,IPS Panel,2,1,7,38.1,2.7,8,256,2,1763
211,210.0,Samsung,4,Full HD,3,1,7,38.1,2.7,16,256,1.23,2349
212,211.0,Dell,4,Full HD,2,1,7,31.75,2.8,8,256,1.6,2147
213,212.0,Xiaomi,4,IPS Panel,3,1,5,33.02,2.3,8,256,1.28,1188
214,213.0,HP,3,Full HD,2,1,5,39.624,2.5,4,256,2.04,1066
215,214.0,HP,3,Full HD,2,1,5,35.56,2.5,4,128,1.95,1607
216,215.0,Samsung,4,Full HD,2,1,7,38.1,2.7,8,256,1.17,2158
217,216.0,Lenovo,4,IPS Panel,2,1,5,35.56,2.5,8,256,1.32,2285
218,217.0,Toshiba,3,Full HD,2,1,5,33.782,2.5,8,256,1.05,1874
219,218.0,Dell,3,Full HD,2,1,5,35.56,2.8,8,256,1.6,1531
220,219.0,Lenovo,3,Full HD,3,1,7,39.624,2.7,6,256,2.2,1002
221,220.0,HP,3,Full HD,3,1,7,39.624,2.7,8,256,2.04,1294
222,221.0,Lenovo,3,Full HD,2,1,5,33.782,2.5,4,128,1.44,1119
223,222.0,HP,3,Full HD,2,1,5,33.782,2.5,8,256,1.49,1219
224,223.0,HP,4,Full HD,1,1,7,39.624,2.5,8,256,1.84,1648
225,224.0,Toshiba,3,IPS Panel,3,1,7,38.1,2.6,16,256,2.4,2509
226,225.0,Lenovo,4,IPS Panel,2,1,7,30.48,2.7,8,256,1.36,2096
227,226.0,HP,3,Full HD,2,1,5,39.624,2.3,8,256,2.31,1480
228,227.0,Toshiba,3,IPS Panel,2,1,5,35.56,2.3,4,128,1.47,1404
229,228.0,HP,2,Full HD,2,1,5,31.75,2.3,8,256,1.26,2120
230,229.0,Dell,4,Full HD,2,1,5,35.56,2.5,8,256,1.36,2082
231,230.0,Dell,4,Full HD,2,1,5,,2.5,8,256,1.36,1870
232,231.0,Dell,4,Full HD,2,1,7,35.56,2.8,8,256,1.36,2255
233,232.0,Toshiba,3,Full HD,2,1,5,33.782,2.3,8,256,1.2,1855
234,233.0,Lenovo,4,IPS Panel,2,1,7,35.56,2.6,8,256,1.7,1891
235,234.0,Toshiba,3,Full HD,2,1,5,33.782,2.4,8,256,1.2,1950
236,235.0,Lenovo,4,IPS Panel,2,1,5,30.48,2.6,8,256,1.36,2236
237,236.0,Lenovo,3,Full HD,3,1,5,39.624,2.5,6,256,2.4,883
238,237.0,Toshiba,3,Full HD,2,1,5,35.56,2.3,8,256,1.95,1499
